planet_name,host_star,discovery_method,discovery_year,orbital_period_days,planet_radius_earth,planet_mass_earth,equilibrium_temperature,star_temperature,star_radius,star_mass,distance_pc,right_ascension,declination
11 Com b,11 Com,Radial Velocity,2007,323.21,,4914.89848585,,4874.0,13.76,2.09,93.1846,185.1787793,17.7932516
11 Com b,11 Com,Radial Velocity,2007,326.03,,6165.6,,4742.0,19.0,2.7,93.1846,185.1787793,17.7932516
11 Com b,11 Com,Radial Velocity,2007,,,5434.7,,,,2.6,93.1846,185.1787793,17.7932516
11 UMi b,11 UMi,Radial Velocity,2009,516.21997,,4684.8142,,4213.0,29.79,2.78,125.321,229.2745954,71.8239428
11 UMi b,11 UMi,Radial Velocity,2009,,,3432.4,,,,1.7,125.321,229.2745954,71.8239428
11 UMi b,11 UMi,Radial Velocity,2009,516.22,,3337.07,,4340.0,24.08,1.8,125.321,229.2745954,71.8239428
14 And b,14 And,Radial Velocity,2008,186.76,,1131.15130051,,4888.0,11.55,1.78,75.4392,352.82415,39.2358367
14 And b,14 And,Radial Velocity,2008,185.84,,1525.5,,4813.0,11.0,2.2,75.4392,352.82415,39.2358367
14 And b,14 And,Radial Velocity,2008,,,1017.0,,,,1.2,75.4392,352.82415,39.2358367
14 Her b,14 Her,Radial Velocity,2002,1765.0389,,2559.47216157,,,,0.91,17.9323,242.6021014,43.8163621
14 Her b,14 Her,Radial Velocity,2002,,,1440.663,,,,0.9,17.9323,242.6021014,43.8163621
14 Her b,14 Her,Radial Velocity,2002,1724.0,,1554.12,,,,1.0,17.9323,242.6021014,43.8163621
14 Her b,14 Her,Radial Velocity,2002,1773.4,,1474.67,,,,,17.9323,242.6021014,43.8163621
14 Her b,14 Her,Radial Velocity,2002,1766.0,,1581.138,,5280.0,1.00235,0.91,17.9323,242.6021014,43.8163621
14 Her b,14 Her,Radial Velocity,2002,,,2828.6728223,,,,0.97,17.9323,242.6021014,43.8163621
14 Her b,14 Her,Radial Velocity,2002,1796.4,,1506.45,,5255.0,,0.9,17.9323,242.6021014,43.8163621
14 Her b,14 Her,Radial Velocity,2002,1773.40002,,1481.0878,,5338.0,0.93,0.9,17.9323,242.6021014,43.8163621
14 Her b,14 Her,Radial Velocity,2002,1766.41,,1541.46777395,,5314.94,0.995819,0.969205,17.9323,242.6021014,43.8163621
16 Cyg B b,16 Cyg B,Radial Velocity,1996,800.8,,476.7,,5760.0,,1.0,21.1397,295.4656422,50.5168243
16 Cyg B b,16 Cyg B,Radial Velocity,1996,799.5,,533.93,,,,,21.1397,295.4656422,50.5168243
16 Cyg B b,16 Cyg B,Radial Velocity,1996,799.45,,556.83536906,,5711.97,1.159464,0.982996,21.1397,295.4656422,50.5168243
16 Cyg B b,16 Cyg B,Radial Velocity,1996,799.5,,533.93,,5747.0,1.12827,1.03,21.1397,295.4656422,50.5168243
16 Cyg B b,16 Cyg B,Radial Velocity,1996,798.5,,565.7374,,5750.0,1.13,1.08,21.1397,295.4656422,50.5168243
16 Cyg B b,16 Cyg B,Radial Velocity,1996,798.5,,533.9544,,5674.0,,0.99,21.1397,295.4656422,50.5168243
17 Sco b,17 Sco,Radial Velocity,2020,578.38,,1373.01871824,,4157.0,25.92,1.22,124.953,243.4620874,-11.8377905
18 Del b,18 Del,Radial Velocity,2008,,,3127.3,,,,2.1,76.222,314.6078375,10.8391378
18 Del b,18 Del,Radial Velocity,2008,982.85,,2926.24614325,,4980.0,8.8,2.1,76.222,314.6078375,10.8391378
18 Del b,18 Del,Radial Velocity,2008,993.3,,3273.5,,4979.0,8.5,2.3,76.222,314.6078375,10.8391378
1RXS J160929.1-210524 b,1RXS J160929.1-210524,Imaging,2008,,,4000.0,1700.0,4060.0,,0.85,139.135,242.3762343,-21.0831403
1RXS J160929.1-210524 b,1RXS J160929.1-210524,Imaging,2008,,18.647,2543.0,1800.0,4060.0,1.352,0.85,139.135,242.3762343,-21.0831403
1RXS J160929.1-210524 b,1RXS J160929.1-210524,Imaging,2008,,,3000.0,1700.0,4060.0,,0.85,139.135,242.3762343,-21.0831403
1RXS J160929.1-210524 b,1RXS J160929.1-210524,Imaging,2008,,,3000.0,1800.0,3993.0,1.31316,0.623,139.135,242.3762343,-21.0831403
24 Boo b,24 Boo,Radial Velocity,2018,30.33,,280.64248338,,4816.0,12.19,1.05,95.9863,217.1555242,49.8446488
24 Boo b,24 Boo,Radial Velocity,2018,30.3506,,289.2253,,4893.0,10.64,0.99,95.9863,217.1555242,49.8446488
24 Sex b,24 Sex,Radial Velocity,2010,452.8,,632.46,,5098.0,4.9,1.54,72.0691,155.8684866,-0.9023998
24 Sex c,24 Sex,Radial Velocity,2010,883.0,,273.32,,5098.0,4.9,1.54,72.0691,155.8684866,-0.9023998
2M0437 b,2MASS J04372171+2651014,Imaging,2021,,,1271.313628,1450.0,3100.0,0.84,0.17,128.484,69.3405531,26.8502997
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,Imaging,2013,,,4131.79,,,,0.19,,15.8992489,-55.2658291
2MASS J01225093-2439505 b,2MASS J01225093-2439505,Imaging,2013,,11.209,,1600.0,3309.0,0.36645,0.353185,33.8281,20.7128012,-24.6646128
2MASS J01225093-2439505 b,2MASS J01225093-2439505,Imaging,2013,,,7786.5,,3530.0,,0.4,33.8281,20.7128012,-24.6646128
2MASS J02192210-3925225 b,2MASS J02192210-3925225,Imaging,2015,,16.14096,4417.837,,3064.0,0.281,0.108,,34.8427046,-39.4230767
2MASS J0249-0557 c,2MASS J0249-0557 A,Imaging,2018,,,3686.8095212,,,,0.046,66.0613,42.4851627,-5.9599921
2MASS J0249-0557 c,2MASS J0249-0557 A,Imaging,2018,,17.37392009,3616.88727166,1723.0,,,0.046,66.0613,42.4851627,-5.9599921
2MASS J03590986+2009361 b,2MASS J03590986+2009361,Imaging,2024,,,5720.911326,2369.0,,,,117.435,59.7911026,20.1599759
2MASS J04414489+2301513 b,2MASS J04414489+2301513,Imaging,2010,,,2383.6,,,,0.019,,70.4371079,23.0308544
2MASS J11011926-7732383 b,2MASS J11011926-7732383,Imaging,2024,,,8899.195396,2677.0,,,,,165.3295388,-77.5440912
2MASS J11550485-7919108 b,2MASS J11550485-7919108,Imaging,2024,,,6356.56814,2506.0,,,,100.862,178.7691634,-79.3197558
2MASS J12073346-3932539 b,2MASS J12073346-3932539,Imaging,2004,,15.69257298,1652.7077164,1163.0,,,,64.308,181.8890906,-39.5484399
2MASS J12073346-3932539 b,2MASS J12073346-3932539,Imaging,2004,,,1271.0,1150.0,2825.0,0.21887,0.188001,64.308,181.8890906,-39.5484399
2MASS J12073346-3932539 b,2MASS J12073346-3932539,Imaging,2004,,,1589.15,1250.0,,,0.024,64.308,181.8890906,-39.5484399
2MASS J19383260+4603591 b,2MASS J19383260+4603591,Eclipse Timing Variations,2015,416.0,,603.877,,,,0.48,396.332,294.6359173,46.0664076
2MASS J19383260+4603591 b,2MASS J19383260+4603591,Eclipse Timing Variations,2015,406.0,,591.16083702,,29564.0,0.203,0.48,396.332,294.6359173,46.0664076
2MASS J21252752-8138278 b,2MASS J21252752-8138278,Imaging,2024,,,3813.940884,1616.0,,,,34.1154,321.3662989,-81.6414894
2MASS J22362452+4751425 b,2MASS J22362452+4751425,Imaging,2016,,,3972.875,,4045.0,,0.6,69.5737,339.1025931,47.861683
2MASS J22501512+2325342 b,2MASS J22501512+2325342,Imaging,2018,,,9534.85221,1600.0,,,,57.2309,342.5634097,23.4259058
4 UMa b,4 UMa,Radial Velocity,2006,270.27,,2511.48007211,,4415.0,18.11,1.234,73.4603,130.0528099,64.3280504
4 UMa b,4 UMa,Radial Velocity,2006,269.3,,2256.5,,4415.0,18.11,1.234,73.4603,130.0528099,64.3280504
47 UMa b,47 UMa,Radial Velocity,1996,1100.8,,877.17,,,,,13.7967,164.8647611,40.4304931
47 UMa b,47 UMa,Radial Velocity,1996,1083.2,,826.32,,,,,13.7967,164.8647611,40.4304931
47 UMa b,47 UMa,Radial Velocity,1996,1076.06,,792.0,,5880.0,,,13.7967,164.8647611,40.4304931
47 UMa b,47 UMa,Radial Velocity,1996,1078.0,,804.08,,5872.0,1.21334,1.06,13.7967,164.8647611,40.4304931
47 UMa b,47 UMa,Radial Velocity,1996,1076.6,,778.6835,,5882.0,,1.063,13.7967,164.8647611,40.4304931
47 UMa b,47 UMa,Radial Velocity,1996,1076.6,,774.86565627,,5829.16,1.136537,1.005192,13.7967,164.8647611,40.4304931
47 UMa c,47 UMa,Radial Velocity,2001,7586.0,,425.87,,,,,13.7967,164.8647611,40.4304931
47 UMa c,47 UMa,Radial Velocity,2001,2265.0,,164.0,,5880.0,,,13.7967,164.8647611,40.4304931
47 UMa c,47 UMa,Radial Velocity,2001,2391.0,,171.621,,5872.0,1.21334,1.06,13.7967,164.8647611,40.4304931
47 UMa c,47 UMa,Radial Velocity,2001,2287.0,,157.96071828,,5829.16,1.136537,1.005192,13.7967,164.8647611,40.4304931
47 UMa d,47 UMa,Radial Velocity,2009,14002.0,,521.22,,5872.0,1.21334,1.06,13.7967,164.8647611,40.4304931
47 UMa d,47 UMa,Radial Velocity,2009,19000.0,,479.92089457,,5829.16,1.136537,1.005192,13.7967,164.8647611,40.4304931
51 Eri b,51 Eri,Imaging,2015,,,635.66,700.0,,,1.75,29.7575,69.4007424,-2.4738245
51 Eri b,51 Eri,Imaging,2015,11688.0,,,,7295.0,1.48726,1.65,29.7575,69.4007424,-2.4738245
51 Eri b,51 Eri,Imaging,2015,9100.0,,3464.3296363,,,,1.75,29.7575,69.4007424,-2.4738245
51 Eri b,51 Eri,Imaging,2015,14965.0,,,,7295.0,1.48726,1.65,29.7575,69.4007424,-2.4738245
51 Eri b,51 Eri,Imaging,2015,,,1303.0964687,807.0,7422.0,1.45,1.55,29.7575,69.4007424,-2.4738245
51 Peg b,51 Peg,Radial Velocity,1995,4.231,,146.2018,,,,1.04,15.4614,344.3675399,20.7690958
51 Peg b,51 Peg,Radial Velocity,1995,4.2293,,149.3801,,5773.0,1.29,,15.4614,344.3675399,20.7690958
51 Peg b,51 Peg,Radial Velocity,1995,4.23077,,148.738,,,,,15.4614,344.3675399,20.7690958
51 Peg b,51 Peg,Radial Velocity,1995,4.2307969,,147.47238085,,5760.76,1.186744,1.069296,15.4614,344.3675399,20.7690958
51 Peg b,51 Peg,Radial Velocity,1995,4.230785,,150.009,,5758.0,1.17561,1.03,15.4614,344.3675399,20.7690958
51 Peg b,51 Peg,Radial Velocity,1995,4.2307966,,193.87532827,,5761.0,1.19,1.07,15.4614,344.3675399,20.7690958
55 Cnc B b,55 Cnc B,Radial Velocity,2025,6.7994,,3.5,,3286.0,0.274,0.26,12.4773,133.167908,28.3152863
55 Cnc B c,55 Cnc B,Radial Velocity,2025,33.747,,5.3,,3286.0,0.274,0.26,12.4773,133.167908,28.3152863
55 Cnc b,55 Cnc,Radial Velocity,1996,14.647,,289.21,,,,,12.5855,133.1468373,28.3298154
55 Cnc b,55 Cnc,Radial Velocity,1996,14.6516,,255.4,,5172.0,0.943,0.905,12.5855,133.1468373,28.3298154
55 Cnc b,55 Cnc,Radial Velocity,1996,14.65171,,267.29369029,,5317.89,0.964411,0.974708,12.5855,133.1468373,28.3298154
55 Cnc b,55 Cnc,Radial Velocity,1996,14.67,,249.17872,,,,0.95,12.5855,133.1468373,28.3298154
55 Cnc b,55 Cnc,Radial Velocity,1996,14.653,,266.9772,,,,0.95,12.5855,133.1468373,28.3298154
55 Cnc b,55 Cnc,Radial Velocity,1996,14.65126,,260.61,,5250.0,0.963515,0.9,12.5855,133.1468373,28.3298154
55 Cnc b,55 Cnc,Radial Velocity,1996,14.6,,254.25,700.0,,,,12.5855,133.1468373,28.3298154
55 Cnc b,55 Cnc,Radial Velocity,1996,14.65162,,261.881,,5250.0,0.963515,0.9,12.5855,133.1468373,28.3298154
55 Cnc b,55 Cnc,Radial Velocity,1996,14.651613,,240.0,,5292.0,,,12.5855,133.1468373,28.3298154
55 Cnc b,55 Cnc,Radial Velocity,1996,14.65152,,263.9785,,,,0.95,12.5855,133.1468373,28.3298154
55 Cnc b,55 Cnc,Radial Velocity,1996,14.465314,,266.966,,5250.0,0.963515,0.9,12.5855,133.1468373,28.3298154
55 Cnc b,55 Cnc,Radial Velocity,1996,14.651,,254.25,,5250.0,0.963515,0.9,12.5855,133.1468373,28.3298154
55 Cnc b,55 Cnc,Radial Velocity,1996,14.651552,,276.0,,5198.0,0.98,1.015,12.5855,133.1468373,28.3298154
55 Cnc b,55 Cnc,Radial Velocity,1996,14.648,,266.9772,,5200.0,,0.85,12.5855,133.1468373,28.3298154
55 Cnc c,55 Cnc,Radial Velocity,2004,44.38,,52.44,,5250.0,0.963515,0.9,12.5855,133.1468373,28.3298154
55 Cnc c,55 Cnc,Radial Velocity,2004,44.4175,,54.4738,,,,0.95,12.5855,133.1468373,28.3298154
55 Cnc c,55 Cnc,Radial Velocity,2004,43.93,,68.96911,,,,0.95,12.5855,133.1468373,28.3298154
55 Cnc c,55 Cnc,Radial Velocity,2004,44.3787,,52.44,,5250.0,0.963515,0.9,12.5855,133.1468373,28.3298154
55 Cnc c,55 Cnc,Radial Velocity,2004,44.3936,,56.6,,5198.0,0.98,1.015,12.5855,133.1468373,28.3298154
55 Cnc c,55 Cnc,Radial Velocity,2004,44.3989,,51.2,,5172.0,0.943,0.905,12.5855,133.1468373,28.3298154
55 Cnc c,55 Cnc,Radial Velocity,2004,44.3446,,53.711,,5250.0,0.963515,0.9,12.5855,133.1468373,28.3298154
55 Cnc c,55 Cnc,Radial Velocity,2004,44.3827,,54.3486576,,5317.89,0.964411,0.974708,12.5855,133.1468373,28.3298154
55 Cnc c,55 Cnc,Radial Velocity,2004,44.373,,56.6985,,5250.0,0.963515,0.9,12.5855,133.1468373,28.3298154
55 Cnc c,55 Cnc,Radial Velocity,2004,44.3916,,48.7,,5292.0,,,12.5855,133.1468373,28.3298154
55 Cnc d,55 Cnc,Radial Velocity,2002,4820.0,,908.98924402,,5317.89,0.964411,0.974708,12.5855,133.1468373,28.3298154
55 Cnc d,55 Cnc,Radial Velocity,2002,5360.0,,1287.2115,,,,0.95,12.5855,133.1468373,28.3298154
55 Cnc d,55 Cnc,Radial Velocity,2002,4909.0,,1121.89,,5250.0,0.963515,0.9,12.5855,133.1468373,28.3298154
55 Cnc d,55 Cnc,Radial Velocity,2002,4517.4,,1243.35096,,,,0.95,12.5855,133.1468373,28.3298154
55 Cnc d,55 Cnc,Radial Velocity,2002,4867.0,,1226.77,,5250.0,0.963515,0.9,12.5855,133.1468373,28.3298154
55 Cnc d,55 Cnc,Radial Velocity,2002,4825.0,,1232.493,,,,0.95,12.5855,133.1468373,28.3298154
55 Cnc d,55 Cnc,Radial Velocity,2002,5574.2,,991.6,,5172.0,0.943,0.905,12.5855,133.1468373,28.3298154
55 Cnc d,55 Cnc,Radial Velocity,2002,5218.0,,1218.827,,5250.0,0.963515,0.9,12.5855,133.1468373,28.3298154
55 Cnc d,55 Cnc,Radial Velocity,2002,4545.0,,918.49,,,,,12.5855,133.1468373,28.3298154
55 Cnc d,55 Cnc,Radial Velocity,2002,4799.0,,1214.10451474,,5198.0,0.98,1.015,12.5855,133.1468373,28.3298154
55 Cnc d,55 Cnc,Radial Velocity,2002,4982.0,,1062.0,,5292.0,,,12.5855,133.1468373,28.3298154
55 Cnc d,55 Cnc,Radial Velocity,2002,5370.0,,1220.42,,5250.0,0.963515,0.9,12.5855,133.1468373,28.3298154
55 Cnc e,55 Cnc,Radial Velocity,2004,0.73654625,,,,5234.0,0.943,0.905,12.5855,133.1468373,28.3298154
55 Cnc e,55 Cnc,Radial Velocity,2004,,1.92,8.08,,5250.0,0.963515,0.9,12.5855,133.1468373,28.3298154
55 Cnc e,55 Cnc,Radial Velocity,2004,0.736539,1.91,8.08,,5250.0,0.963515,0.9,12.5855,133.1468373,28.3298154
55 Cnc e,55 Cnc,Radial Velocity,2004,0.737,1.897,7.74,,5172.0,0.954,0.873,12.5855,133.1468373,28.3298154
55 Cnc e,55 Cnc,Radial Velocity,2004,0.736547,,7.95,,5292.0,,,12.5855,133.1468373,28.3298154
55 Cnc e,55 Cnc,Radial Velocity,2004,0.73654625026,2.02311213,,1831.27,5250.0,0.963515,,12.5855,133.1468373,28.3298154
55 Cnc e,55 Cnc,Radial Velocity,2004,0.7365515,,8.13928,,,,0.95,12.5855,133.1468373,28.3298154
55 Cnc e,55 Cnc,Radial Velocity,2004,2.79674,,7.4687,,5250.0,0.963515,0.9,12.5855,133.1468373,28.3298154
55 Cnc e,55 Cnc,Radial Velocity,2004,0.7365445,,9.37593801,,5317.89,0.964411,0.974708,12.5855,133.1468373,28.3298154
55 Cnc e,55 Cnc,Radial Velocity,2004,0.7365474,1.875,7.99,,5172.0,0.943,0.905,12.5855,133.1468373,28.3298154
55 Cnc e,55 Cnc,Radial Velocity,2004,0.7365478,,8.09479,,5250.0,0.963515,0.9,12.5855,133.1468373,28.3298154
55 Cnc e,55 Cnc,Radial Velocity,2004,0.73654,2.0,8.63,,,0.943,0.963,12.5855,133.1468373,28.3298154
55 Cnc e,55 Cnc,Radial Velocity,2004,0.7365437,2.08,7.81,1958.0,5234.0,0.943,0.905,12.5855,133.1468373,28.3298154
55 Cnc e,55 Cnc,Radial Velocity,2004,0.736546,2.173,8.37,,5250.0,0.963515,0.9,12.5855,133.1468373,28.3298154
55 Cnc e,55 Cnc,Radial Velocity,2004,2.808,,14.30235,,,,0.95,12.5855,133.1468373,28.3298154
55 Cnc e,55 Cnc,Radial Velocity,2004,0.7365417,,,,,,,12.5855,133.1468373,28.3298154
55 Cnc e,55 Cnc,Radial Velocity,2004,,,,,5250.0,0.963515,0.9,12.5855,133.1468373,28.3298154
55 Cnc e,55 Cnc,Radial Velocity,2004,0.736543,1.856,,,5272.0,0.943,0.905,12.5855,133.1468373,28.3298154
55 Cnc e,55 Cnc,Radial Velocity,2004,0.736546,,9.35,,5198.0,0.98,1.015,12.5855,133.1468373,28.3298154
55 Cnc e,55 Cnc,Radial Velocity,2004,0.7365474,1.947,8.59,,,0.98,1.015,12.5855,133.1468373,28.3298154
55 Cnc e,55 Cnc,Radial Velocity,2004,0.73654604,,,,,,,12.5855,133.1468373,28.3298154
55 Cnc f,55 Cnc,Radial Velocity,2007,261.2,,54.664,,5250.0,0.963515,0.9,12.5855,133.1468373,28.3298154
55 Cnc f,55 Cnc,Radial Velocity,2007,260.7,,44.812,,5250.0,0.963515,0.9,12.5855,133.1468373,28.3298154
55 Cnc f,55 Cnc,Radial Velocity,2007,260.0,,45.766,,5250.0,0.963515,0.9,12.5855,133.1468373,28.3298154
55 Cnc f,55 Cnc,Radial Velocity,2007,260.58,,48.5,,5198.0,0.98,1.015,12.5855,133.1468373,28.3298154
55 Cnc f,55 Cnc,Radial Velocity,2007,259.88,,47.8,,5172.0,0.943,0.905,12.5855,133.1468373,28.3298154
55 Cnc f,55 Cnc,Radial Velocity,2007,260.54,,40.4,,5292.0,,,12.5855,133.1468373,28.3298154
55 Cnc f,55 Cnc,Radial Velocity,2007,260.98,,46.87969003,,5317.89,0.964411,0.974708,12.5855,133.1468373,28.3298154
55 Cnc f,55 Cnc,Radial Velocity,2007,260.91,,47.0051,,5250.0,0.963515,0.9,12.5855,133.1468373,28.3298154
55 Cnc f,55 Cnc,Radial Velocity,2007,262.0,,44.812,,,,0.95,12.5855,133.1468373,28.3298154
6 Lyn b,6 Lyn,Radial Velocity,2008,899.0,,762.8,,4978.0,5.2,1.7,54.6599,97.6960311,58.1611753
6 Lyn b,6 Lyn,Radial Velocity,2008,934.3,,638.8383,,4938.0,5.2,1.44,54.6599,97.6960311,58.1611753
6 Lyn b,6 Lyn,Radial Velocity,2008,919.86,,597.83523357,,4941.0,4.94,1.32,54.6599,97.6960311,58.1611753
6 Lyn b,6 Lyn,Radial Velocity,2008,874.774,,702.4043,,,5.2,1.82,54.6599,97.6960311,58.1611753
61 Vir b,61 Vir,Radial Velocity,2009,4.215011,,5.8,,5552.0,,,8.50332,199.596455,-18.3157745
61 Vir b,61 Vir,Radial Velocity,2009,4.21487,,5.11703735,,5585.57,1.03251,0.914072,8.50332,199.596455,-18.3157745
61 Vir b,61 Vir,Radial Velocity,2009,4.215,,5.1,,5577.0,0.963,0.942,8.50332,199.596455,-18.3157745
61 Vir c,61 Vir,Radial Velocity,2009,38.0957,,16.11390023,,5585.57,1.03251,0.914072,8.50332,199.596455,-18.3157745
61 Vir c,61 Vir,Radial Velocity,2009,38.021,,18.2,,5577.0,0.963,0.942,8.50332,199.596455,-18.3157745
61 Vir c,61 Vir,Radial Velocity,2009,38.0864,,17.84,,5552.0,,,8.50332,199.596455,-18.3157745
61 Vir d,61 Vir,Radial Velocity,2009,123.15,,10.92,,5552.0,,,8.50332,199.596455,-18.3157745
61 Vir d,61 Vir,Radial Velocity,2009,123.01,,22.9,,5577.0,0.963,0.942,8.50332,199.596455,-18.3157745
7 CMa b,7 CMa,Radial Velocity,2011,,,616.5,,,5.198,1.439,19.8101,99.171276,-19.2561808
7 CMa b,7 CMa,Radial Velocity,2011,796.0,,781.8618,,4794.52,4.90843,,19.8101,99.171276,-19.2561808
7 CMa b,7 CMa,Radial Velocity,2011,763.0,,826.3,,4792.0,2.3,1.52,19.8101,99.171276,-19.2561808
7 CMa b,7 CMa,Radial Velocity,2011,735.1,,587.9855,,4826.0,4.87,1.34,19.8101,99.171276,-19.2561808
7 CMa c,7 CMa,Radial Velocity,2019,,,289.9,,,5.198,1.439,19.8101,99.171276,-19.2561808
7 CMa c,7 CMa,Radial Velocity,2019,996.0,,276.5121,,4826.0,4.87,1.34,19.8101,99.171276,-19.2561808
70 Vir b,70 Vir,Radial Velocity,1996,116.689,,2084.88,,,,,17.9011,202.1064898,13.7763085
70 Vir b,70 Vir,Radial Velocity,1996,116.6884,,2380.45,,5545.0,,1.11,17.9011,202.1064898,13.7763085
70 Vir b,70 Vir,Radial Velocity,1996,116.688,,2357.02728,,5495.0,1.89,1.09,17.9011,202.1064898,13.7763085
70 Vir b,70 Vir,Radial Velocity,1996,116.69335,,2297.89938261,,5481.86,1.921943,1.06055,17.9011,202.1064898,13.7763085
70 Vir b,70 Vir,Radial Velocity,1996,116.6926,,2351.942,,5439.0,1.94,1.09,17.9011,202.1064898,13.7763085
70 Vir b,70 Vir,Radial Velocity,1996,116.6884,,2421.8646,,5531.0,1.84,1.14,17.9011,202.1064898,13.7763085
75 Cet b,75 Cet,Radial Velocity,2012,691.9,,953.49,,4846.0,10.5,2.49,82.9613,38.0391598,-1.0350269
75 Cet b,75 Cet,Radial Velocity,2012,696.62,,787.89662095,,4809.0,10.38,1.92,82.9613,38.0391598,-1.0350269
75 Cet c,75 Cet,Radial Velocity,2023,2051.62,,289.85950718,,4809.0,10.38,1.92,82.9613,38.0391598,-1.0350269
8 UMi b,8 UMi,Radial Velocity,2015,93.4,,416.3573,,4847.0,10.3,1.44,162.552,224.201685,74.9009379
8 UMi b,8 UMi,Radial Velocity,2015,93.31,,524.41687155,,4847.0,10.73,1.51,162.552,224.201685,74.9009379
8 UMi b,8 UMi,Radial Velocity,2015,93.4,,476.745,,4847.4,9.9,1.8,162.552,224.201685,74.9009379
81 Cet b,81 Cet,Radial Velocity,2008,,,1274.4,,,,1.6,101.26,39.4243555,-3.3963607
81 Cet b,81 Cet,Radial Velocity,2008,952.7,,1684.4,,4785.0,11.0,2.4,101.26,39.4243555,-3.3963607
81 Cet b,81 Cet,Radial Velocity,2008,1005.57,,1051.05854195,,4734.0,11.21,1.23,101.26,39.4243555,-3.3963607
91 Aqr b,91 Aqr,Radial Velocity,2013,181.4,,1017.0,,4665.0,11.0,1.4,44.0304,348.9745031,-9.0878076
AB Aur b,AB Aur,Imaging,2022,,,2860.455663,,9770.0,,2.4,162.127,73.9410446,30.5510888
AB Pic b,AB Pic,Imaging,2005,,,4290.5,,,,,50.0475,94.8039208,-58.0541184
AF Lep b,AF Lep,Imaging,2023,,,1188.67824218,,,,1.219,26.8564,81.7699216,-11.9011752
AF Lep b,AF Lep,Imaging,2023,7520.0,,1664.46736746,1400.0,6100.0,1.25,1.201,26.8564,81.7699216,-11.9011752
AF Lep b,AF Lep,Imaging,2023,8905.0,,1147.36054927,,,,1.218,26.8564,81.7699216,-11.9011752
AF Lep b,AF Lep,Imaging,2023,9060.0,,1366.6621501,,6140.0,,1.13,26.8564,81.7699216,-11.9011752
AF Lep b,AF Lep,Imaging,2023,8030.0,,1017.0509024,,6130.0,1.25,1.2,26.8564,81.7699216,-11.9011752
AT2021ueyL b,AT2021ueyL,Microlensing,2025,4168.69,,425.89006538,,3680.0,,0.49,1040.0,324.5450417,26.4665694
AU Mic b,AU Mic,Transit,2020,8.463446,4.79,8.99,554.8,3540.0,0.862,0.635,9.7221,311.2911369,-31.34245
AU Mic b,AU Mic,Transit,2020,8.46321,,,,,,,9.7221,311.2911369,-31.34245
AU Mic b,AU Mic,Transit,2020,8.463,4.07,17.0,593.0,3700.0,0.75,0.5,9.7221,311.2911369,-31.34245
AU Mic b,AU Mic,Transit,2020,8.46321,4.203375,57.2094,,3700.0,0.75,0.5,9.7221,311.2911369,-31.34245
AU Mic b,AU Mic,Transit,2020,8.45367765822,4.02692583,,754.62,3588.0,0.698009,,9.7221,311.2911369,-31.34245
AU Mic b,AU Mic,Transit,2020,8.4631427,,10.2,,3665.0,0.82,0.6,9.7221,311.2911369,-31.34245
AU Mic b,AU Mic,Transit,2020,8.463,,11.7,,3700.0,0.75,0.5,9.7221,311.2911369,-31.34245
AU Mic b,AU Mic,Transit,2020,8.4630004,4.19,,,,0.75,,9.7221,311.2911369,-31.34245
AU Mic b,AU Mic,Transit,2020,8.463446,,6.1,,3665.0,0.82,0.6,9.7221,311.2911369,-31.34245
AU Mic b,AU Mic,Transit,2020,8.462995,4.38,,,,0.75,0.56,9.7221,311.2911369,-31.34245
AU Mic b,AU Mic,Transit,2020,8.4629991,,20.12,,,,0.5,9.7221,311.2911369,-31.34245
AU Mic b,AU Mic,Transit,2020,8.46321,,17.1,,3700.0,0.75,0.5,9.7221,311.2911369,-31.34245
AU Mic b,AU Mic,Transit,2020,8.46308,3.95677019,,600.0,3678.0,0.744,0.51,9.7221,311.2911369,-31.34245
AU Mic b,AU Mic,Transit,2020,,3.55,,,3700.0,0.75,0.5,9.7221,311.2911369,-31.34245
AU Mic c,AU Mic,Transit,2021,,2.56,,,3700.0,0.75,0.5,9.7221,311.2911369,-31.34245
AU Mic c,AU Mic,Transit,2021,18.85969,2.52202066,,459.0,3678.0,0.744,0.51,9.7221,311.2911369,-31.34245
AU Mic c,AU Mic,Transit,2021,18.859019,,22.2,,3700.0,0.75,0.5,9.7221,311.2911369,-31.34245
AU Mic c,AU Mic,Transit,2021,18.859019,3.24,13.6,454.0,3700.0,0.75,0.5,9.7221,311.2911369,-31.34245
AU Mic c,AU Mic,Transit,2021,18.85882,,14.2,,3665.0,0.82,0.6,9.7221,311.2911369,-31.34245
AU Mic c,AU Mic,Transit,2021,18.858982,2.79,,,,0.75,,9.7221,311.2911369,-31.34245
AU Mic c,AU Mic,Transit,2021,18.858991,,9.6,,,,0.5,9.7221,311.2911369,-31.34245
AU Mic c,AU Mic,Transit,2021,18.859023,2.79,14.46,424.7,3540.0,0.862,0.635,9.7221,311.2911369,-31.34245
AU Mic c,AU Mic,Transit,2021,18.859018,,11.6,,3665.0,0.82,0.6,9.7221,311.2911369,-31.34245
AU Mic d,AU Mic,Transit Timing Variations,2023,12.73596,,1.053,,3678.0,0.744,0.51,9.7221,311.2911369,-31.34245
AU Mic e,AU Mic,Radial Velocity,2025,33.39,,35.2,,3665.0,0.82,0.6,9.7221,311.2911369,-31.34245
